Title,Year,Movie URL,Synopsis
The Bible: In the Beginning...,1966,https://www.imdb.com/title/tt0060164/plotsummary?ref_=tt_stry_pl#synopsis,"Extravagant production of the first part of the book of Genesis. Its main highlights are the Garden of Eden, the first brothers, Noah and his family obeying God to build an ark for the Flood and Abraham's attempted sacrifice of Isaac. An elaborate Hollywood retelling of the Bible stories narrated by the film's director John Huston. We open with the Creation of the World and arrive at the Garden of Eden with our first ancestral parents and continue on to Cain murdering his younger brother Abel. Next, we visit Noah and his ark with its spectacular flood sequence. Then we come to the story of Nimrod, King of Babel, the emergence of man's vanity and the heights to which it could aspire if unchecked. Finally we cover Abraham, a mystic who spoke personally with God, a leader of men, a builder of nations, a pioneer and a warrior and Sarah. At the time she conceived her first child, the event being forecast by an Angel of the Lord. Three such Heavenly Messengers appeared in the course of events which befell Abraham and Sarah.—Anonymous"
Hawaii,1966,https://www.imdb.com/title/tt0060491/plotsummary?ref_=tt_stry_pl#synopsis,"An American missionary and his wife travel to the exotic island kingdom of Hawaii, intent on converting the natives. But the clash between the two cultures is too great and instead of understanding there comes tragedy. Reverend Abner Hale (Max Von Sydow), a rigid and humorless New England missionary, marries the beautiful Jerusha Bromley (Dame Julie Andrews) and takes her to the exotic island kingdom of Hawaii, intent on converting the natives. But the clash between the two cultures is too great and instead of understanding, there comes tragedy.—Jim Beaver <jumblejim@prodigy.net>"
A Man for All Seasons,1966,https://www.imdb.com/title/tt0060665/plotsummary?ref_=tt_stry_pl#synopsis,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry. The story takes place in sixteenth century England. But men like Sir Thomas More, who love life yet have the moral fiber to lay down their lives for their principles, are found in every century. Concentrating on the last seven years of the English Chancellor's life, the struggle between More and King Henry VIII hinges on Henry's determination to break with Rome so he can divorce his current wife and wed again, and good Catholic More's inability to go along with such heresy. More resigns as Chancellor, hoping to be able to live out his life as a private citizen. But Henry will settle for nothing less than that the much respected More give public approval to his headstrong course.—alfiehitchie King Henry VIII's desire for a son and heir leads him to seek a divorce from his first wife, Catherine of Aragon, to marry Anne Boleyn. He had already received a dispensation from the Pope to marry Catherine, she was his brother's widow, and he seeks the support of Sir Thomas More, who is soon named Chancellor. More is a devout Catholic, and while he does not agree with the King's desire to divorce, he is completely silent in his opposition. His principles are tested, however, when he also remains silent after the King is named the head of the Church of England, and subsequently when Parliament requires all to take an oath of allegiance. His silence is not sufficient for the King, who wishes to have More's public endorsement. He is eventually brought to trial on charges of having accepted a bribe, but it is one of his former supporters, Sir Richard Rich, who perjures himself leading to More being found guilty and beheaded.—garykmcd The life of Sir Thomas More during the period of his service in various capacities to volatile King Henry VIII is presented. More, a lawyer and devoted member of the Catholic Church, and the King are often at odds with each other, the King nonetheless wanting More's blessing on matters as a moral and principled person. The biggest bone of contention is the King wanting More to wield his influence with the church to permit him to divorce Catherine of Aragon - who is unable to bore him children, meaning no male heir to the throne - so that he can marry Anne Boleyn. More is unwilling to do so, seeing it an act against his faith to the church. With the help of an ambitious, opportunistic and somewhat feckless young man named Richard Rich who More considers a friend, Thomas Cromwell, one of More's primary adversaries, plans to exploit the rift between the King and More to his own benefit for greater power within the court. The ultimate questions become how far the King will go to get what he wants, and how much More is willing to risk to remain true to his principles.—Huggo When the highly respected British statesman Sir Thomas More refuses to pressure the Pope into annulling the marriage of King Henry VIII and his Spanish-born wife, More's clashes with the monarch increase in intensity. A devout Catholic, More stands by his religious principles and moves to leave the royal court. Unfortunately, the King and his loyalists aren't appeased by this, and press forward with grave charges of treason, further testing More's resolve.—Jwelch5742 Thomas More (Paul Scofield) is at odds with Henry VIII (Robert shaw) over the king's wish to divorce his wife, Catherine of Aragon, so that he may marry Anne Boleyn. More understands that from the standpoint of the Roman Catholic church, the king would be heretical.More, the appointed Lord Chancellor, is so highly regarded that his outspoken unwillingness to break with Rome makes Henry VIII look unreasonable and the king is furious. As the king's wrath grows, he tries to discredit More by attempts at legal trickery, but the attempts fail. More feels the heat being turned up and determines it best to resign his post to retire to private life. Unfortunately, because More's resignation speaks so loudly of the king's intended impropriety, the king will still settle for no less than More's approval of the divorce. More, however, refuses to relent.Henry now has legislation passed that establishes himself as having supreme power in English religious affairs, breaking with Rome and, thereby, establishing the Church of England. He then has legislation passed establishing it as treasonous for any member of the king's court to refuse to sign off on it. More's refusal to sign off dooms him to be beheaded, but he will be remembered as a deeply principled ""man for all seasons."""
"Lt. Robin Crusoe, U.S.N.",1966,https://www.imdb.com/title/tt0060640/plotsummary?ref_=tt_stry_pl#synopsis,"A Navy pilot is marooned on an island with a headhunter's daughter and outcast tribal women. Lt. Robin Crusoe is a navy pilot who bails out of his plane after engine trouble. He reaches a deserted island paradise where he builds a house, finds an abandoned submarine with lots of gadgets that he can use, and also finds a marooned chimp from the US Space program and a native girl named Wednesday who was exiled by her father. Wednesday thinks Crusoe wants to marry her, and when her father arrives on the island to collect her and Crusoe refused to marry her, chaos ensues.—Marta Dawes <smdawes@home.com>"
The Russians Are Coming the Russians Are Coming,1966,https://www.imdb.com/title/tt0060921/plotsummary?ref_=tt_stry_pl#synopsis,"Without hostile intent, a Soviet submarine runs aground off New England. Men are sent for a boat, but many villagers go into a tizzy, risking bloodshed. In the Cold War, when the captain of a Russian submarine comes too close to the Gloucester Island in Massachusetts to give a look at America, the submarine gets stranded. A nine-man team commanded by Lieutenant Rozanov goes onshore to search a motor boat to release the submarine and arrives at the summer house of the New Yorker writer Walt Whittaker that is spending the weekend with his family in Gloucester. When he realizes that they are Russians, he believes that it is an invasion. Soon the information leaks, leading hysteria and paranoia along the inhabitants of the small village.—Claudio Carvalho, Rio de Janeiro, Brazil When a Soviet submarine captain comes up for a look at America (off the coast of a small island in Massachusetts) he runs aground. He sends his two English speaking crewmen to procure a boat with enough power to pull them off. The 2 English speakers, along with 7 other Russian sailors, don't exactly blend in and the town is convinced that they are being invaded.—John Vogel <jlvogel@comcast.net> The Soviet naval submarine Sprut (which means ""octopus"" or ""kraken"" in Russian) draws too close to the New England coast when its captain wants to take a good look at America and runs aground on a sandbar near an island off Cape Cod. Rather than radio in for help and risk an embarrassing international incident, the captain (Theodore Bikel) sends a nine-man landing party headed by his second-in-command Lieutenant Rozanov (Alan Arkin) to find a motor launch to help free the sub from the bar. The men arrive at the house of Walt Whittaker (Carl Reiner), a vacationing playwright from New York City. Whittaker is eager to get his wife Elspeth (Eva Marie Saint) and two children, obnoxious six-year-old Pete (Sheldon Collins) and three-year-old Annie (Cindy Putnam), off the island now that summer is over.Failing to convince the Whittakers that his group are Norwegians (all of the Russians are conspicuously dressed in sinister all-black clothing), Rozanov draws a gun and promises no harm if the family provides information about military on the island (none) and police force (small), and gives them the keys to their car. Walt and Elspeth provide the answers and the keys, and the Russians depart, leaving behind a young sailor, Alexei Kolchin (John Phillip Law), to guard the Whittakers and, subsequently, their attractive 18-year-old neighbor and babysitter, named Alison Palmer (Andrea Dromm) when she stumbles upon them.The Whittakers' station wagon quickly runs out of gasoline on a rural coastal road, forcing the Russians to walk. They make it to another group of houses where they steal an old sedan from Muriel Everett (Doro Merande), the postmistress; she calls Alice Foss (Tessie O'Shea), the gossipy telephone switchboard operator, and before long, wild rumors throw the entire island into confusion. As level-headed Police Chief Link Mattocks (Brian Keith) and his bumbling assistant Norman Jonas (Jonathan Winters) try to squelch the inept vigilante movement of blustering Fendall Hawkins (Paul Ford).Meanwhile, Walt and Elspeth manage to overpower Kolchin, who flees, but when Walt and Elspeth along with Pete leave the house to find help, Kolchin returns and takes Alison and Annie hostage.Trying to find the Russians on his own, Walt is re-captured by them. After subduing Mrs. Foss and disabling the island's telephone switchboard, seven of the Russians manage to steal a motorboat and head back to their sub, which is still high and dry. Back at the Whittaker house, Kolchin is by now falling in love with Alison. Walt manages to free himself, and he and Elspeth return to the house and almost shoot Rozanov who arrives there just after they do. With the misunderstandings cleared up, the Whittakers, Rozanov and Kolchin decide to head into town together to clear the air with everyone over just what is going on.With the rising tide, the Sprut frees itself, and the Russian captain sets out in search of his missing men. He finds Rozanov and Kolchin in the harbor and threatens to blow up the town unless the other seven are returned to him. Chief Mattocks arrives with the rest of the armed villagers who threaten action against the sub's crew on deck with rifles and pistols. As tension mounts, a small boy (Johnny Whitaker) falls from his perch on the church steeple and hangs perilously from a gutter. Forgetting their differences, islanders and Russians unite to form a human pyramid and rescue the child.With peace and harmony established, the Sprut heads out of the harbor with a convoy of villagers in small boats protecting it. The boat with the seven Russians reaches the group shortly thereafter, and the seven board the submarine, just before two U.S. Air Force F-101B Voodoo jets arrive. They break off after seeing the convoy, and the Sprut is free to sail away to safe waters."
Grand Prix,1966,https://www.imdb.com/title/tt0060472/plotsummary?ref_=tt_stry_pl#synopsis,"American Grand Prix driver Pete Aron is fired by his Jordan-BRM racing team after a crash at Monaco that injures his British teammate, Scott Stoddard. American Grand Prix driver Pete Aron is fired by his Jordan-BRM racing team after a crash at Monaco that injures his British teammate, Scott Stoddard. While Stoddard struggles to recover, Aron begins to drive for the Japanese Yamura team, and becomes romantically involved with Stoddard's estranged wife.—Damian Penny <g0mb@unb.ca> The most daring drivers in the world have gathered to compete for the 1966 Formula One championship. After a spectacular wreck in the first of a series of races, American wheelman Pete Aron is dropped by his sponsor. Refusing to quit, he joins a Japanese racing team. While juggling his career with a torrid love affair involving an ex-teammate's wife, Pete must also contend with Jean-Pierre Sarti, a French contestant who has previously won two world titles.—Jwelch5742 A race day accident involving Jordan-BRM teammates Pete Aron and Scott Stoddard leaves Stoddard critically injured. During Stoddard's recovery, Aron becomes involved with his wife who seems determined to leave Scott. At the same time, drivers Jean-Pierre Sarti and Nino Barlini also have chronicled love affairs with Louise Frederickson, an American journalist, and Lisa.—Christie Rears Drivers are introduced with their back stories at the starting grid of the Monaco Grand Prix. They're off!. Jean-Pierre Sarti (Yves Montand) leads Scott Stoddard (Brian Bedford), Pete Aron (James Garner) third. Pat Stoddard (Jessica Walter)gets out of bed hungoverand looks down at the racing cars from her high balcony. Hugo, an older gentleman friend arrives to escort her to the winner's circle. Pat had partied hard with two Greeks and ouzo while her huband Scott had gone to bed early. Stoddard pushes and passes Sarti for the lead leaving the others behind as they begin to lap the backmarkers. Nino Barlini (Antonio Sabato) passes Aron for 3rd. Pete Aron in the 11 car Jordan-BRM is having problems with his gearbox and gestures to his pits. He slips to 5th and pits. Team owner/Manager Jeff Jordan (JaCK Watson) angrily tells him to get back out despite a faulty transmission. Aron exits the pits in front of his teammate Scott Stoddard in the 12 car. Despite being a lap down and with a wonky car Pete doesn't pull out of the way, Jordan is livid as he sees the cars pass the pits. Aron ignores the blue flag order. Coming to the chicane Aron's car slips a gear, he raises his arm but too late, the 12 car rams him from behind. Stoddard is sent into the runoff haybales while Aron is pushed into the harbour. Stoddard is badly hurt and Arons swims to safety. Jordan is furious and calls Aron a liar and a coward.In the hospital Stoddard is bandaged from head to foot. Jordan peevishly tells Pat she got what she wanted, Stoddard is finished as a driver. Meanwhile Sarti wins the race. In a hotel room after the celebrations a weary Sarti has a chat with Aron, Pete tries to explain what happened. At night the 11 car is hoisted from the harbour. Pat sits by her unconscious husband, she gently kisses the sleeping man and tells him softly she knows he will drive again somehow, but she has had enough. She leaves quietly as Stoddard stirs. Aron then comes to the room and sees Scott crying.In a posh reception area Hugo greets American journalist Louise Frederickson (Eva Marie Saint). Sarti arrives wearing a tuxedo and is introduced to Louise. Jean-Pierre charms the woman and the two go outside for a quiet talk. Louise is doing a story for a fashion magazine. Sarti recalls Louise had written an article about his wife Monique, who is from an auto company family but never comes to races. The two browse in an old car museum, Louise admits she has never seen a race before. Sarti invites her to another party that night. At a disco young people shake their booties to pop music. Nino Barlini arrives on a motorcycle and spots the bored but gorgeous, leggy blonde Lisa (Francoise Hardy). Nino goes to chat her up.Pete visits the Ferrari factory in Modena to talk to Agostini Manetta, asking to drive for them again. Manetta refuses partly because of how Aron left the team three years earlier, he also says Aron is reckless and not a winner.Stoddard is transferred by ambulance back to the UK, reporters crowd around him on the gurney. A reporter asks about a rumoured divorce but Jeff says it's not true. In the hospital Scott tells Jeff he wants her back. Pat is a fashion model doing a shoot at the Ferrari garage. Louise is there too and greets Jean-Pierre. The two Ferrari cars come out onto a city street to cheering onlookers.At the French Grand Prix Pete is now in a burgandy blazer as a TV commentator. In the pits Lisa is now an enthusiastic pit babe hanging close to Nino. The drivers kibbitz with Pete. The famous Japanese industrialist Izo Yamura (Toshiro Mifune) arrives by limo. Pete introduces himself to the Japanese car owner, but can't arrange an interview. Scott watches dismally as Pat is being interviewed on TV, she denies any marriage problems. Pete chides her off camera for the obvious lies. The others discuss the Stoddards' not exactly fairy tale marriage. Sarti and Louise have lunch together. Pete then sees Pat sitting alone on the bleachers and goes to apologize but still manages to insult her.At a quiet stream, Jean-Pierre gives Louise fly-fishing lessons. Sarti talks about his marriage. Nino and Lisa are in a pedal boat nearby. Louise is not married as she likes to be free and independent.The cars whiz by the French fans, Louise is in the crowd and excited by the spectacle. Sarti in the #6 Ferrari cruises to a win. Pat sits with Pete in a bar as they hear the French anthem. Pat tries to break the ice between them and asks for a lift. In a Mustang Aron drives quickly as Pat admits she has left Scott and why she did so. On a hillside viewpoint Jean-Pierre and Louise look a the scenery, Sarti tries to encourage her to stay in Europe for a while longer. He invites her to join him at a place near Monza. At the hotel Pete leaves Pat at her room, he then finds a letter slipped under his door.Pete goes to the Yamura garage with the invitation. He is greeted by Yamura, who explains his racing philosophy, and is anxious for his first win. He offers Aron a job as a driver in a third car on his team, Pete accepts.Pete and Pat stroll down a quiet city street. Pat announces she is divorcing Scott. The two are more friendly, and later Pat comes to his hotel room. At an exlusive resort Jean-Pierre shows Louise around his large Ferrari-decorated suite. They make love and discuss the future over champagne.Yamura shows Pete around his racing car shop, there are many chassis and bodies being worked on. Pete sits in a car then the two men have tea outside a luxurious estate. Yamura tells Aron he was a fighter pilot in the war, shooting down 17 Americans. The two men seem to hit it off.At the Stoddard manse, filled with trophies and racing art, Scott returns, now hobbling on crutches escorted by Jeff Jordan. The house is a shrine to Scott's older, dead brother Roger. Scott uses the mementos as motivation to exceed.At a meeting with all the other drivers Sarti presses for a union to push for better safety. Scott arrives and is greeted warmly by the other drivers. Pete and Pat are living together in a suite upstairs, Scott comes to talk and asks Aron to leave them for a moment. Scott has missed her but Pat refuses to reconcile.Sarti has pole position for the Belgian GP at Spa. The cars tear around the long circuit. It starts to rain heavily and Aron in the #24 Yamura begins to cut through traffic. Sarti pushes hard at the front and comes up to the backmarkers. Suddenly his right front wheel breaks off and the Ferrari crashes through a fence. Sarti is helped out. His leg gashed, he looks back at two spectators who were killed in the crash. Aron wins! Stoddard and Jordan look on glumly. The father of one of the dead men attacks Sarti as Aron receives his flowers and the American anthem plays.IntermissionAt Stoddard's farm they wheel out Roger's old front engine green racer from a barn. Scott squeezes into the car and takes it out for a spin. At Zandvoort for the Dutch Grand Prix Scott is back racing, he celebrates a hot record lap, Aron and Yamura look concerned. In the race Barlini spins out but continues. Sarti retires at the back of the circuit. Scott charges and rubs his leg whenever he can, he wins! The Jordan team are joyous. Later Scott injects his leg with a painkiller. In the US he wins again at Watkins Glen. After Mexico Yamura and Aron review movies of the #32 Yamura spinning out. Aron acknowledges he is making mistakes, Stoddard has won yet again.At Brands Hatch the cars arrange on the grid. The track announcer states Aron has already won at Belgium and Germany. The British Grand Prix is underway! After 15 laps Stoddard begins to slow, he starts thinking of the drugs and Pat. He pits and is lifted almost unconcious from the car. Barlini, Sarti and Aron battle for the lead on the last lap. Aron's car begins to leak fuel. It catches fire but Aron continues onto 2nd place as the car erupts in a fireball. Aron is OK! Sarti seems shaken and blasts the photographers. Lisa joins an ecstatic Nino on the podium.Scott is relaxing in a dark room as Pat comes to see him, concerned. At a pub all the drivers celebrate Nino's win. Sarti slips out quietly and Louise joins him. Jean Pierre is getting reflective and begins to question what they all do. Louise tries to reassure him.At Monza Lisa notices a handsome young man at a slot car track. Sarti is upset his car hasn't arrived yet. A narrator describes the dangers of the 6.5 mile high banked race track. Manetta arrives with a guest, it is Sarti's wife Monique. She greets Louise awkwardly and makes small talk with Nino. Then Lisa sees Nino playing around with two Japanese girls and turns away. Manetta challenges Sarti's recent driving and suggests he is ready for retirement, Jean-Pierre is angry. He politely meets his wife behind the pits. Monique tells him divorce is out of the question and Sarti will always be used for marketing her auto company. Scott and Pat prepare to go to a party, this will be his last race. Nino is headed to a room with the two kimono-clad girls. Outside Lisa starts to talk to the handsome guy she noticed earlier. The next morning Jean-Pierre and Louise talk wistfully and express their love.In the pits Nino wonders where Lisa was last night, she tells him she is leaving him to go to Greece with her new American boyfriend. Nino sarcastically tells her off. Scott confidently blips his throttle as Pat looks on smiling. Pete arrives in his Shelby Mustang GT and greets Pat, he wishes her well. On the grid the announcer says Barlini leads the championship with 28 pts, Stoddard and Sarti are tied for 2nd at 27, Aron is 4th with 26. The flag drops, Sarti's car stalls. He manages to restart 30 seconds behind the pack. Barlini leads. The cars speed around the imposing banking at 180 mph. Sarti closes up and passes slower cars. Barlini stretches his lead but Sarti is the fastest car on the track. On lap 22 Sarti makes it to 4th place! An exhaust pipe comes off another car, Sarti hits it, spins off the high banking and crashes in an explosion on the trackside below. Jean-Pierre is fatally injured and taken away by ambulance. Louise is hysterical, Monique is shocked. Manetta black flags Barlini withdrawing his whole team from the race. Everyone is silent in respect. Back on the track Scott and Pete now duel wheel to wheel, passing and re-passing each other using drafting. Around the last corner Pete presses ahead and wins by a wheel. Getting out of his car Yamura indicates Sarti is gone, Aron is silent but takes the winner's laurels and beckons a subdued Scott up to the podium.Later, Pete looks sadly around the empty grandstands and starting grid. He hears the engines roar, has a smoke and strides off down the track."
The Professionals,1966,https://www.imdb.com/title/tt0060862/plotsummary?ref_=tt_stry_pl#synopsis,"An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit. A rich Texan, J.W. Grant, selects three men and invites them to his private train to offer them a contract: Rescue his wife who has been kidnapped by a Mexican revolutionary. The leader of the men, Rico, decides they would be a better team if Grant would hire one more man, an explosives expert. Grant quickly agrees and soon the four are off to complete the contract. However, while on the trail, they discover some interesting facts, like has Mrs. Grant 'really' been kidnapped?—AzRanger Wealthy Texas oilman Joe Grant hires four professional soldiers to retrieve his wife Maria from a Mexican revolutionary and bandit by the name of Jesus Raza who is demanding $100,000 for her return. He promises the four men $10,000 for what amount to 9 nine days work. Two of the men, Rico Fardan and Bill Dolworth, know Raza from their own days fighting with Pancho Villa during the Mexican revolutionary war. They make their way to Raza's encampment - with a battle or two along the way - and in the end have little trouble getting hold of Maria Grant. What they learn however leads them to question just who the kidnappers are and how they should deal with their employer.—garykmcd Wealthy J.W. Grant hires Henry Fardan, Jake Sharp, Hans Ehrengard, and Bill Dolworth, each a specialist in his own field, to go into Mexico to bring back his wife, who has been kidnapped by the revolutionary Raza. Fardan and Dolworth, old comrades of Raza's, know both the territory and their foe, but a surprise awaits when they locate the captive Mrs. Grant.—Jim Beaver <jumblejim@prodigy.net> Mr Grant hires four hard-boiled adventurers, Rico Fardan, Bill Dolworth, Jake Sharp and Hans Ehrengard, to rescue his wife Maria, kidnapped by Mexican revolutionary Jesus Raza and took away behond the border. The four professionals are middle-aged and two of them took part in the Mexican revolution. They feel their time is over.—Yepok"
Alfie,1966,https://www.imdb.com/title/tt0060086/plotsummary?ref_=tt_stry_pl#synopsis,"An unrepentant ladies' man gradually begins to understand the consequences of his lifestyle. For Alfie, the only real life is sex life. Only then, can he kid himself he is living. Sex is not used as the working-class boy's way to ""the top"". Executive status has no appeal for Alfie. Nor has class mobility. He is quite content to stay where he is, as long as the ""birds"" are in ""beautiful condition"", as he assures us they are in one of the candid, over-the-shoulder asides to the camera which this movie carries over from Tom Jones (1963). This movie shows how much of the ""swinging 60s"" quality of London life was a male creation, and through the dominance of the fashion photographers, a male prerogative.—alfiehitchie Alfie is a young man from the working classes of London. He is confident, charming, totally self-centered and very successful with the ladies; using them for his immediate pleasure without emotional involvement and leaving a trail of emotional devastation. His callousness toward these women contrasts with the delusion that he causes no harm; he is just teaching life's lessons.—Joe Jurca Showing total disregard for the consequences of his actions, stylish chauffeur Alfie Elkins, a handsome Cockney Lothario and incorrigible skirt-chaser, thinks he is God's gift to women. And in his endless pursuit of happiness, Alfie is used to charming his way out of trouble in hedonistic 1960s London, carving a path of sexual promiscuity and heartbreak along the way. However, as women of all shapes and sizes fall prey to his casual cheekiness, sooner or later, egotistic Alfie will have to face the music and pay the price for his insatiable sexual appetite. But has it ever occurred to Alfie that women have feelings too?—Nick Riganas"
Georgy Girl,1966,https://www.imdb.com/title/tt0060453/plotsummary?ref_=tt_stry_pl#synopsis,"A traditional girl (Lynn Redgrave) resists the advances of a swinger (James Mason) who wants her as his mistress in 1960s London. A homely but vivacious young woman dodges the amorous attentions of her father's middle-aged employer while striving to capture some of the glamorous life of her swinging London roommate.—Rick Ferncase <ferncase@chapman.edu> Georgy has resigned herself to being one of life's accidents. She disapproves somewhat of her father's butlering James Leamington. She's tall, plump, sloppy, and wistfully envious of what she conceives to be the life led by her beautiful, but icy roommate. Where her roommate, Meredith, is cool and calculating, Georgy gets so involved with the people around her she behaves like an affectionate puppy. Most of all, she burns to be a mother. But it is Meredith that is in the hospital having an unwanted child.—filmfactsman Twenty-two-year-old Georgina Parkin, Georgy to her friends, is a Plain Jane of a woman who beats to her own drummer. She grew up in the household of wealthy James Leamington, Georgy's parents being the household domestics. Middle-aged Leamington, who had provided for Georgy's every need while she was growing up, offers Georgy a business proposition, all written in a formal contract. He will provide for her whatever she wants if she becomes his mistress. She never really directly provides him with an answer. Meanwhile, Georgy shares a flat with Meredith Montgomery, a beautiful, but self-absorbed woman. Partying all the time without him, Meredith is dating Jos Jones, who hangs around with Georgy while Meredith is out partying. Jos and Georgy have a good time together. Georgy secretly loves her flatmate's boyfriend. Solely out of boredom, Meredith, who is pregnant with Jos' child, proposes she keep this one (she's previously had two abortions without much thought on the matter) and that she and Jos get married. The plan is for Jos to move into the flat, then Georgy is free to do as she pleases. As Meredith's pregnancy progresses, and after the baby arrives, the life of Georgy, Jos, and Leamington adjust to accommodate the change. By choice, Meredith's life is the one that doesn't.—Huggo Georgy (Lynn Redgrave) appears to be heading for spinsterhood: She's well past ""marrying age"", is overweight and frumpy, and her parents have low expectations of her. However, her natural ability and empathy with children make her shine. Mr. Leamington, her father's boss (James Mason), is stuck in a loveless marriage with a sickly wife (Rachel Kempson) and believes he has found a lonely woman in Georgy whom he can set up as his mistress. Some of the most clever scenes are when Georgy successfully stiff-arms Mr. Leamington and keeps him at bay. She is at her most vulnerable juxtaposed with her pretty roommate, Meredith (Charlotte Rampling), a tramp who has had many boyfriends and abortions. When Meredith turns up pregnant once again and decides to have the baby, Georgy's path in life becomes clear even to Georgy, despite a coming-of-age detour with Meredith's boyfriend-cum-husband Jos (Alan Bates)."
Our Man Flint,1966,https://www.imdb.com/title/tt0059557/plotsummary?ref_=tt_stry_pl#synopsis,"When scientists use eco-terrorism to impose their will on the world by affecting extremes in the weather, Intelligence Chief Cramden calls in top agent Derek Flint. The world's weather seems to have changed dramatically with violent storms everywhere and long dormant volcanoes suddenly erupting. No one is sure what is happening or why but when American intelligence chief Cramden loses yet another team of agents, there appears to be only one man who can do the job: Derek Flint, former super spy, incredibly rich and the ultimate ladies man. Despite Cramden's concerns, Flint is on the job and soon discovers that the Earth's weather is under the control of a secret organization known as GALAXY whose scientists are looking to pacify the world and devote humankind to scientific pursuits.—garykmcd When the intelligence agencies of the world find that their agents are being murdered at an alarming rate their leaders all write out the qualities an agent will need to succede against the terrible crisis they are facing. Derick Flint is the only agent with all the qualities, but his old boss refuses to work with him until ordered to by the president. Flint is the worlds greatest secret agent, worlds greatest lover, an expert on electronics and Dolphin speech and goes to Moscow for Ballet (To Teach!) When attempts on his life are made, Flint begins to search out the mad scientists who want to remake the world after taking over with the aid of their earthquake machine.—John Vogel <jlvogel@comcast.net> Ecological catastrophes are happening in the world. Flooding, hurricaines, volcanic actives, etc. No one knows why or how. Someone must be found who can tell the experts why all this is happening and how to stop it, the leaders of the world go to their computers to find that person each one has comes up with one man named: Derek Flint. The head honcho Mr. Cramden, who was Flint's commander in the military, dismisses him as the one person who can do this task.The President, who is listening in on a bug, calls on the red phone and orders Cramden to ""Get Flint"" against Cramdens personal wishes.Cramden sends various people to bring Flint in, but they are rebuffed in the act by Flint, who wants nothing to do with things, so Cramden pays Flint a personal visit at his apartment where Flint is serviced by several women who shave him and see to his needs whispering into his ear to which Flint replies: ""Later.""Flint, who teaches Ballet in Russia and takes on several Black Belts and wins, eventually concedes and seeks out Cramden who briefs him on the problem and offers him a briefcase that has multiple functions only Flint counters with his cigarette lighters that does even more functions.Flint sets out to find out who, what, where and when and runs into Gila, the bad girl, who eventually arranges for Flint's women to be captured as well as Flint, himself.Once on the isolated Island that houses the bad guys Flint looks around but is given away by an un-American Eagle who is trained to find Americans, which Flint terms as ""diabolical.""Flint eventually faces the evil doers, who are scientists who have names that don't match their ethnicities. He refused to go along with them and Gila, who has taken to Flint, is sent to become a Pleasure Unit (because she is a traitor) but she quickly gives Flint back his multi-purpose Cigarette lighter so he can overcome (the evil guys).Flint then goes on a rampage and releases Gila from conditioning, along with his bounty of girl servants who have also been conditioned to serve.Flint destroys the complex and makes a high jump off a cliff into the water that, according to Mr. Cramden, has to be a world record and saves the day and gets the gorgeous girl, Gila (play by Israeli Actress Gila Golan).Bang, bang, boom, boom, the world is saved by Flint!Outstanding musical score by Jerry Goldsmith!"
